City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Dagda,LV,2021-03-28 13:37:21,56.0951,27.5372,44.92,63,100,5.21
251,Padang,ID,2021-03-28 13:37:21,-0.9492,100.3543,77.0,94,75,3.44
252,Ostrovnoy,RU,2021-03-28 13:37:22,68.0531,39.5131,35.62,96,100,21.63
253,Barrow,US,2021-03-28 13:37:22,71.2906,-156.7887,-29.2,75,20,8.05
254,Chifeng,CN,2021-03-28 13:37:22,42.2683,118.9636,42.75,23,0,17.65
255,Cachoeira Do Sul,BR,2021-03-28 13:37:22,-30.0392,-52.8939,74.5,75,72,6.2
256,Kloulklubed,PW,2021-03-28 13:37:23,7.0419,134.2556,78.8,94,90,5.75
257,Along,IN,2021-03-28 13:37:23,28.1667,94.7667,69.15,26,0,1.86
258,Marseille,FR,2021-03-28 13:37:23,43.3333,5.5,64.4,52,0,11.5
259,Broken Hill,AU,2021-03-28 13:37:23,-31.95,141.4333,64.4,45,0,8.05
260,Grindavik,IS,2021-03-28 13:37:24,63.8424,-22.4338,32.0,86,40,6.91
261,Rio Branco,BR,2021-03-28 13:37:24,-9.9747,-67.81,77.0,94,75,4.61
262,Borogontsy,RU,2021-03-28 13:37:24,62.6683,131.1683,1.6,99,70,2.48
263,Labuhan,ID,2021-03-28 13:37:24,-6.8844,112.2051,80.24,83,89,4.63
264,Burhaniye,TR,2021-03-28 13:37:13,39.5004,26.9727,60.8,41,0,11.5
265,Iqaluit,CA,2021-03-28 13:37:25,63.7506,-68.5145,6.8,61,75,13.8
266,Batemans Bay,AU,2021-03-28 13:37:25,-35.7167,150.1833,60.01,90,80,1.01
267,Paamiut,GL,2021-03-28 13:37:25,61.994,-49.6678,14.11,64,0,24.47
268,Yenagoa,NG,2021-03-28 13:37:25,4.9247,6.2642,94.57,41,93,5.35
269,Ilulissat,GL,2021-03-28 13:37:26,69.2167,-51.1,-9.4,49,4,5.75
270,North Myrtle Beach,US,2021-03-28 13:37:26,33.816,-78.68,70.0,94,90,18.41
271,Plettenberg Bay,ZA,2021-03-28 13:37:26,-34.0527,23.3716,66.0,76,98,20.45
272,Egvekinot,RU,2021-03-28 13:37:27,66.3167,-179.1667,4.03,79,100,10.4
273,Yar-Sale,RU,2021-03-28 13:37:27,66.8333,70.8333,-5.66,97,10,9.53
274,Nhulunbuy,AU,2021-03-28 13:37:27,-12.2333,136.7667,80.6,94,40,8.05
275,Kifri,IQ,2021-03-28 13:37:27,34.6959,44.9661,64.99,21,0,15.99
276,Santiago De Chuco,PE,2021-03-28 13:37:28,-8.15,-78.1833,56.98,64,79,5.32
