City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
282,Sobolevo,54.4299,31.8996,34.83,snow,96,100,14.74,RU
283,Klaksvik,62.2266,-6.589,39.2,clear sky,93,6,6.91,FO
284,Fare,-16.7,-151.0167,82.74,overcast clouds,69,97,10.0,PF
285,Xiongyue,40.1774,122.1228,51.6,overcast clouds,49,100,9.91,CN
286,Wajir,1.7471,40.0573,81.5,scattered clouds,64,27,16.33,KE
287,Waingapu,-9.6567,120.2641,78.39,overcast clouds,88,100,5.93,ID
288,Katsuura,35.1333,140.3,60.01,broken clouds,72,75,4.61,JP
289,Gazanjyk,39.2446,55.5154,56.03,clear sky,37,0,20.87,TM
290,Vila Franca Do Campo,37.7167,-25.4333,60.8,few clouds,82,20,9.22,PT
291,Mayumba,-3.432,10.6554,78.71,light rain,84,61,6.08,GA
292,Emerald,-23.5333,148.1667,72.0,clear sky,64,1,18.41,AU
293,Port Shepstone,-30.7414,30.455,71.49,light rain,84,100,1.79,ZA
294,Provideniya,64.3833,-173.3,10.4,light snow,72,90,4.47,RU
295,Guymon,36.6828,-101.4816,69.8,clear sky,14,1,26.46,US
296,Bubaque,11.2833,-15.8333,75.87,clear sky,71,1,13.98,GW
297,Kirkuk,35.4681,44.3922,60.1,overcast clouds,39,87,11.25,IQ
298,Bootle,53.4667,-3.0167,46.4,overcast clouds,71,90,13.8,GB
299,Kodinar,20.7903,70.7031,75.31,few clouds,75,23,8.72,IN
300,Omsukchan,62.5333,155.8,7.84,overcast clouds,87,100,8.9,RU
301,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.69,overcast clouds,92,99,1.68,BR
302,Port Macquarie,-31.4333,152.9167,72.0,overcast clouds,80,99,4.0,AU
303,Tautira,-17.7333,-149.15,87.8,moderate rain,66,75,6.91,PF
304,Lake Havasu City,34.4839,-114.3224,87.8,clear sky,5,1,10.36,US
305,Pervomaysk,48.0443,30.8507,45.84,broken clouds,62,65,8.01,UA
306,Port Hedland,-20.3167,118.5667,71.6,clear sky,68,0,8.05,AU
307,Vanavara,60.34,102.2797,1.81,overcast clouds,98,96,3.15,RU
308,Wanning,18.8003,110.3967,76.06,few clouds,92,11,7.94,CN
309,Verrettes,19.05,-72.4667,86.0,few clouds,58,20,11.5,HT
310,Ekpoma,6.7421,6.139,75.88,few clouds,77,19,5.53,NG
311,Bereda,43.2686,-7.5406,55.0,overcast clouds,100,99,1.01,ES
312,Vila Velha,-20.3297,-40.2925,77.0,overcast clouds,78,90,2.3,BR
313,Aguimes,27.9054,-15.4461,66.2,scattered clouds,77,40,11.5,ES
314,Narsaq,60.9167,-46.05,37.4,broken clouds,81,75,6.91,GL
315,North Bend,43.4065,-124.2243,66.0,clear sky,76,1,12.66,US
316,Bushehr,28.9684,50.8385,75.4,broken clouds,52,54,8.57,IR
317,Fortuna,40.5982,-124.1573,62.01,few clouds,72,20,17.27,US
318,Ippy,6.2679,21.2247,78.06,broken clouds,57,62,3.53,CF
319,Bakchar,57.0186,82.0711,22.8,overcast clouds,78,100,14.88,RU
320,Asau,46.4333,26.4,50.0,light rain,47,60,6.64,RO
321,Aulla,44.2146,9.9678,55.99,clear sky,86,0,2.24,IT
322,Neyshabur,36.2133,58.7958,53.91,overcast clouds,37,91,3.04,IR
323,Kollo,13.3043,2.339,84.2,clear sky,7,1,6.91,NE
324,Katobu,-4.9408,122.5276,76.98,overcast clouds,93,100,1.61,ID
325,Severo-Kurilsk,50.6789,156.125,31.73,light snow,92,78,14.52,RU
326,Ostrovnoy,68.0531,39.5131,28.4,overcast clouds,93,100,10.11,RU
327,Bosaso,11.2842,49.1816,79.39,few clouds,50,21,2.28,SO
328,Meulaboh,4.1363,96.1285,73.78,overcast clouds,81,96,6.62,ID
329,Aleksandrov Gay,50.147,48.5704,38.79,clear sky,54,0,8.75,RU
330,Brownsville,25.9018,-97.4975,68.0,overcast clouds,49,90,17.27,US
331,Wegrow,52.3995,22.0163,42.01,overcast clouds,77,96,13.49,PL
332,Perelyub,51.8667,50.3667,31.8,scattered clouds,81,49,10.71,RU
333,Surt,31.2089,16.5887,59.23,clear sky,62,0,6.67,LY
334,Inhuma,-6.6683,-41.7078,73.45,moderate rain,79,92,4.74,BR
335,Matagami,49.7502,-77.6328,21.2,clear sky,38,1,17.27,CA
336,Constitucion,-35.3333,-72.4167,56.17,few clouds,92,19,9.91,CL
337,Dehloran,32.6941,47.2679,76.08,overcast clouds,24,98,4.99,IR
338,Mocuba,-16.8392,36.9856,63.57,clear sky,90,5,2.75,MZ
339,Pucallpa,-8.3791,-74.5539,84.2,scattered clouds,65,40,3.44,PE
340,Bonthe,7.5264,-12.505,79.36,scattered clouds,86,39,5.26,SL
341,Buin,-33.7333,-70.75,71.6,clear sky,49,2,4.61,CL
342,Sioux Lookout,50.1001,-91.917,41.0,broken clouds,28,75,12.66,CA
343,Moramanga,-18.9333,48.2,64.4,light rain,98,94,3.53,MG
